Trade_ID,Overall_Match,Match_Percentage,Field_Name,Term_Sheet_Value,Booking_Value,Field_Match,Similarity,Notes
1,YES,100.0%,isin,INE008A08U84,INE008A08U84,YES,1.000,
1,YES,100.0%,issuer,IDBI Bank Limited,IDBI Bank Limited,YES,1.000,
1,YES,100.0%,issue_amount,15000000000.0,15000000000.0,YES,1.000,
1,YES,100.0%,coupon_rate,10.75,10.75,YES,1.000,
1,YES,100.0%,currency,INR,INR,YES,1.000,
2,NO,80.0%,isin,INE008A08U84,INE008A08U84,YES,1.000,
2,NO,80.0%,issuer,IDBI Bank Limited,IDBI Bank Limited,YES,1.000,
2,NO,80.0%,issue_amount,15000000000.0,15000000000.0,YES,1.000,
2,NO,80.0%,coupon_rate,10.75,11.0,NO,0.977,Difference: 0.2500
2,NO,80.0%,currency,INR,INR,YES,1.000,
3,YES,100.0%,isin,INE008A08U84,INE008A08U84,YES,1.000,
3,YES,100.0%,issuer,IDBI Bank Limited,IDBI Bank Limited,YES,1.000,
3,YES,100.0%,issue_amount,15000000000.0,15000000000.0,YES,1.000,
3,YES,100.0%,coupon_rate,10.75,10.75,YES,1.000,
3,YES,100.0%,currency,INR,INR,YES,1.000,
4,YES,100.0%,isin,INE008A08U84,INE008A08U84,YES,1.000,
4,YES,100.0%,issuer,IDBI Bank Limited,IDBI Bank Limited,YES,1.000,
4,YES,100.0%,issue_amount,15000000000.0,15000000000.0,YES,1.000,
4,YES,100.0%,coupon_rate,10.75,10.75,YES,1.000,
4,YES,100.0%,currency,INR,INR,YES,1.000,
5,YES,100.0%,isin,INE008A08U84,INE008A08U84,YES,1.000,
5,YES,100.0%,issuer,IDBI Bank Limited,IDBI Bank Limited,YES,1.000,
5,YES,100.0%,issue_amount,15000000000.0,15000000000.0,YES,1.000,
5,YES,100.0%,coupon_rate,10.75,10.75,YES,1.000,
5,YES,100.0%,currency,INR,INR,YES,1.000,
